Date,Price,Prediction,Confidence,Risk_Score,K_Phase,Actual_Move_Pct,Actual_Outcome,Signals_Count
2020-01-01,28189.75,NEUTRAL_BEARS,72.0,66,winter,-16.27,BEARISH,15
2020-01-31,26312.63,BULLISH,79.0,21,spring,-6.34,NEUTRAL_BEARS,16
2020-03-01,26129.93,BULLISH,73.0,27,spring,-12.13,BEARISH,15
2020-03-31,23603.48,BEARISH,75.0,75,spring,2.96,NEUTRAL,15
2020-04-30,24643.59,BEARISH,93.0,93,spring,0.97,NEUTRAL,17
2020-05-30,22961.47,NEUTRAL,50.0,51,spring,10.72,BULLISH,15
2020-06-29,24301.28,BULLISH,73.0,27,spring,-4.39,NEUTRAL,14
2020-07-29,24883.14,NEUTRAL_BULLS,62.0,39,spring,-0.39,NEUTRAL,13
2020-08-28,25422.06,BULLISH,79.0,21,spring,5.50,NEUTRAL_BULLS,14
2020-09-27,23235.42,BULLISH,91.0,9,spring,13.56,BULLISH,14
2020-10-27,24787.19,BULLISH,79.0,21,spring,21.67,BULLISH,14
2020-11-26,26819.45,BULLISH,79.0,21,spring,10.81,BULLISH,14
2020-12-26,26386.56,NEUTRAL_BULLS,62.0,39,spring,7.39,NEUTRAL_BULLS,13
2021-01-25,30159.01,NEUTRAL_BEARS,54.0,57,spring,-3.58,NEUTRAL,18
2021-02-24,29718.24,BULLISH,79.0,21,spring,-2.72,NEUTRAL,18
2021-03-26,28336.43,BULLISH,79.0,21,spring,1.93,NEUTRAL,17
2021-04-25,29078.75,NEUTRAL_BEARS,78.0,69,spring,-6.04,NEUTRAL_BEARS,14
2021-05-25,28910.86,NEUTRAL,50.0,51,spring,-13.15,BEARISH,12
2021-06-24,28882.46,NEUTRAL,50.0,45,spring,-16.14,BEARISH,11
2021-07-24,27321.98,NEUTRAL_BULLS,62.0,39,spring,-4.37,NEUTRAL,12
2021-08-23,25109.59,NEUTRAL,50.0,51,spring,-0.24,NEUTRAL,15
2021-09-22,24221.54,BULLISH,95.0,3,spring,-5.16,NEUTRAL_BEARS,14
2021-10-22,26126.93,NEUTRAL_BULLS,74.0,33,spring,-4.50,NEUTRAL,14
2021-11-21,25049.97,NEUTRAL_BULLS,74.0,33,spring,-2.88,NEUTRAL,13
2021-12-21,22971.33,BULLISH,95.0,3,spring,-7.62,NEUTRAL_BEARS,16
2022-01-20,24952.35,BEARISH,75.0,75,spring,-16.06,BEARISH,16
2022-02-19,24327.71,NEUTRAL_BEARS,66.0,63,spring,-14.84,BEARISH,14
2022-03-21,21221.34,NEUTRAL_BULLS,62.0,39,spring,-0.69,NEUTRAL,13
2022-04-20,20944.67,NEUTRAL_BEARS,66.0,63,spring,-1.35,NEUTRAL,14
2022-05-20,20717.24,NEUTRAL,50.0,51,spring,-4.60,NEUTRAL,12
2022-06-19,21075.00,NEUTRAL_BULLS,74.0,33,spring,-10.98,BEARISH,12
2022-07-19,20661.06,BULLISH,79.0,21,spring,-19.59,BEARISH,13
2022-08-18,19763.91,BULLISH,79.0,21,spring,-7.63,NEUTRAL_BEARS,14
2022-09-17,18761.69,BULLISH,95.0,0,spring,3.67,NEUTRAL,16
2022-10-17,16612.90,NEUTRAL_BULLS,62.0,39,spring,30.85,BULLISH,17
2022-11-16,18256.48,NEUTRAL,50.0,51,spring,15.65,BULLISH,12
2022-12-16,19450.67,NEUTRAL_BULLS,74.0,33,spring,-1.27,NEUTRAL,11
2023-01-15,21738.66,BEARISH,75.0,75,spring,-5.98,NEUTRAL_BEARS,16
2023-02-14,21113.76,NEUTRAL_BULLS,74.0,33,spring,-5.41,NEUTRAL_BEARS,21
2023-03-16,19203.91,BULLISH,85.0,15,spring,1.06,NEUTRAL,16
2023-04-15,20438.81,BULLISH,85.0,15,spring,-5.02,NEUTRAL_BEARS,15
2023-05-15,19971.13,NEUTRAL_BEARS,54.0,57,spring,-4.49,NEUTRAL,14
2023-06-14,19408.42,NEUTRAL_BULLS,62.0,39,spring,-7.12,NEUTRAL_BEARS,12
2023-07-14,19413.78,NEUTRAL_BEARS,54.0,57,spring,-6.06,NEUTRAL_BEARS,12
2023-08-13,19075.19,NEUTRAL,50.0,51,spring,-9.81,NEUTRAL_BEARS,12
2023-09-12,18025.89,NEUTRAL_BULLS,74.0,33,spring,-10.12,BEARISH,12
2023-10-12,18238.21,NEUTRAL_BULLS,74.0,33,spring,-11.74,BEARISH,15
2023-11-11,17203.26,BULLISH,79.0,21,spring,-8.47,NEUTRAL_BEARS,14
2023-12-11,16201.49,NEUTRAL_BULLS,74.0,33,spring,0.94,NEUTRAL,15
2024-01-10,16097.28,NEUTRAL_BULLS,74.0,33,spring,4.54,NEUTRAL,16
2024-02-09,15746.58,NEUTRAL_BEARS,78.0,69,spring,17.73,BULLISH,14
2024-03-10,16353.39,NEUTRAL_BULLS,62.0,39,spring,12.31,BULLISH,13
2024-04-09,16828.07,NEUTRAL,50.0,51,spring,4.14,NEUTRAL,13
2024-05-09,18537.81,NEUTRAL,50.0,51,spring,-8.95,NEUTRAL_BEARS,14
2024-06-08,18366.95,BULLISH,73.0,27,spring,-5.02,NEUTRAL_BEARS,13
2024-07-08,17524.06,BULLISH,73.0,27,spring,29.75,BULLISH,14
2024-08-07,16877.86,BULLISH,79.0,21,spring,24.46,BULLISH,15
2024-09-06,17444.30,NEUTRAL,50.0,45,spring,12.13,BULLISH,13
2024-10-06,22736.87,NEUTRAL_BULLS,62.0,39,spring,-13.09,BEARISH,16
2024-11-05,21006.97,NEUTRAL_BULLS,74.0,33,spring,-3.76,NEUTRAL,16
2024-12-05,19560.44,NEUTRAL,50.0,51,spring,20.62,BULLISH,12
2025-01-04,19760.27,NEUTRAL_BEARS,78.0,69,spring,15.64,BULLISH,17
2025-02-03,20217.26,NEUTRAL_BEARS,66.0,63,spring,11.31,BULLISH,18
2025-03-05,23594.21,BULLISH,73.0,27,spring,-0.35,NEUTRAL,16
2025-04-04,22849.81,BULLISH,73.0,27,spring,5.34,NEUTRAL_BULLS,17
2025-05-04,22504.68,NEUTRAL_BEARS,66.0,63,spring,8.90,NEUTRAL_BULLS,15
2025-06-03,23512.49,NEUTRAL,50.0,51,spring,8.95,NEUTRAL_BULLS,13
2025-07-03,24069.94,NEUTRAL_BULLS,62.0,39,spring,11.57,BULLISH,15
2025-08-02,24507.81,NEUTRAL,50.0,45,spring,5.71,NEUTRAL_BULLS,15
2025-09-01,25617.42,NEUTRAL,50.0,51,spring,0.94,NEUTRAL,17
2025-10-01,26855.56,NEUTRAL_BULLS,74.0,33,spring,-3.73,NEUTRAL,19
2025-10-31,25906.65,BULLISH,85.0,15,spring,7.96,NEUTRAL_BULLS,14
2025-11-30,25858.89,NEUTRAL_BULLS,74.0,33,spring,2.14,NEUTRAL,11
2025-12-30,25854.60,NEUTRAL_BULLS,74.0,33,spring,2.16,NEUTRAL,14
2026-01-29,27968.09,NEUTRAL_BEARS,66.0,63,spring,-5.56,NEUTRAL_BEARS,17
